sku,quantity
10111054,1
10111058,2
10111060,2
10112052,2
10112054,4
10112056,2
10112058,2
10112060,1
10114054,1
10114056,3
10115052,1
10115054,1
10115056,1
10115058,2
10115060,1
10117056,2
10117060,1
10118056,2
10118058,2
10131054,1
10132052,1
10132056,6
10134052,1
10134056,2
10134058,2
10135052,2
10135054,1
10135056,3
10135060,1
10136054,1
10140056,3
10144052,48
10144054,1
10144056,1
10144058,2
10151060,1
10155056,1
10155058,1
10157056,1
10157058,1
10157060,1
10173056,1
10177056,1
10177060,1
10180052,2
10180054,1
10180056,1
10182054,1
10182056,3
10182058,3
10186054,1
10186058,1
10187056,3
10187058,1
10192052,91
10192054,137
10192056,138
10192058,96
10192060,66
10196058,1
10197056,1
10197058,3
10198056,1
10199054,2
10200056,1
10204052,1
10204056,1
10210052,53
10210054,51
10210056,50
10210058,30
10210060,20
10211052,153
10211054,146
10211056,150
10211058,101
10211060,50
10238052,22
10238054,29
10238056,28
10238058,19
10238060,10
10239052,60
10239054,53
10239056,61
10239058,39
10239060,28
10241052,63
10241054,58
10241056,59
10241058,40
10241060,26
10242052,63
10242054,57
10242056,59
10242058,40
10242060,25
10244052,57
10244054,66
10244056,59
10244058,39
10244060,25
10248052,36
10248056,6
10248058,85
10248060,94
10255054,30
10255056,3
10255058,5
10260052,54
10260054,56
10260056,53
10260058,30
10260060,27
10261054,1
10261056,36
10266054,1
10266056,10
10266058,39
10266060,6
10268052,9
10268054,57
10268056,91
10268058,57
10268060,48
10270054,1
10270058,1
10271054,1
10271056,1
10273056,1
10273058,1
10274052,23
10274054,23
10274056,30
10274058,14
10274060,14
10280052,72
10280056,1
10280058,1
10283054,1
10283058,1
10285052,31
10285054,59
10285056,57
10285058,39
10285060,38
10293052,29
10293054,55
10293056,56
10293058,40
10293060,29
10296052,56
10296054,62
10296056,63
10296058,31
10296060,25
10298052,100
10298054,104
10298056,109
10298058,102
10298060,58
10300052,40
10300054,59
10300056,59
10300058,40
10300060,40
10302056,7
10303058,2
10304054,1
10304058,40
10320054,1
10320056,1
10320058,39
10321054,2
10321056,1
10323052,36
10323054,58
10323056,57
10323058,42
10323060,37
10327052,4
10327056,18
10328052,32
10328054,58
10328056,60
10328058,38
10328060,39
10329058,41
10330052,36
10330054,1
10330058,1
10330060,23
10332060,21
10338052,28
10338054,35
10338056,57
10343052,88
10343054,143
10343056,140
10343058,92
10343060,96
10345052,38
10345054,59
10345056,58
10345058,37
10345060,38
10346052,55
10346054,55
10346056,59
10346058,39
10346060,26
10347052,54
10347054,54
10347056,55
10347058,41
10347060,26
10348052,54
10348054,59
10348056,55
10348058,38
10348060,23
10353052,50
10353054,69
10353056,38
10353058,41
10353060,38
10354052,40
10354054,68
10354056,33
10354058,31
10354060,30
10357052,47
10357054,72
10357056,39
10357058,40
10357060,41
10358052,78
10358054,72
10358056,1
10358058,36
10358060,40
10361052,49
10361054,71
10361056,73
10361058,46
10361060,50
10362052,53
10362054,39
10362056,62
10362058,17
10362060,26
10363052,114
10363054,127
10363056,144
10363058,92
10363060,80
10365052,40
10365054,49
10365056,49
10365058,29
10365060,30
10367052,40
10367054,51
10367060,38
10368052,40
10368054,57
10368056,59
10368058,39
10368060,38
10376052,38
10376054,40
10376056,19
10376058,23
10376060,21
10380052,45
10380054,55
10380056,60
10380058,40
10380060,26
10383052,112
10383054,59
10383056,114
10383058,36
10383060,51
10387052,123
10387054,148
10387056,68
10387058,95
10387060,29
10390052,10
10390054,5
10390056,5
10395054,8
10395056,9
10395058,8
10395060,8
10396054,18
10396056,26
10396060,8
10397052,10
10397054,24
10397056,26
10397060,10
10399052,150
10399054,159
10399056,132
10399058,99
10399060,100
10400052,76
10400054,81
10400056,60
10400058,51
10400060,50
10401052,20
10401054,27
10401056,29
10401058,19
10401060,20
10402052,40
10402054,59
10402056,59
10402058,38
10402060,40
10403054,1
10403058,1
10411052,55
10411054,59
10411056,58
10411058,27
10411060,31
10414052,61
10414054,93
10414056,91
10414058,67
10415052,53
10415054,87
10415056,91
10415058,54
10415060,63
10416052,63
10416054,77
10416056,86
10416058,47
10416060,60
10418058,1
10421056,1
10421058,1
10432052,146
10432054,149
10432056,144
10432058,73
10432060,75
10436054,1
10436056,6
10436058,3
10437054,1
10437056,1
10437058,1
10439052,48
10439054,78
10439056,76
10439058,47
10439060,48
10440054,1
10441054,1
10441056,1
10441058,3
10442054,2
10443058,1
10444056,1
10446056,1
10458054,2
10459056,1
10460052,21
10460054,27
10460056,27
10460058,20
10460060,22
10461056,1
10463052,1
10463056,1
10464054,1
10464060,2
10465054,1
10467058,1
10468056,1
10468058,1
10468060,1
10469052,19
10469054,16
10469056,9
10471052,10
10471054,6
10471056,8
10472052,10
10472054,4
10472056,6
10473052,8
10473054,5
10473056,9
10477058,2
10477060,1
10478056,1
10479052,121
10479054,145
10479056,80
10479058,96
10479060,76
10480056,13
10489052,66
10489054,85
10489056,56
10489058,40
10489060,31
10491058,1
10492054,1
10492058,1
10493054,1
10493058,1
10496052,52
10496054,49
10496056,54
10496058,60
10497054,1
10497058,1
10498052,1
10499052,7
10499054,9
10499056,10
10499058,7
10499060,9
10500052,59
10500054,89
10500056,87
10500058,46
10500060,36
10501052,62
10501054,87
10501056,60
10501058,56
10501060,40
10502052,37
10502054,57
10502056,56
10502058,42
10502060,20
10503052,37
10503054,56
10503056,64
10503058,39
10503060,18
10504052,25
10504054,37
10504056,29
10504058,19
10504060,20
10505056,1
10505058,1
10506056,1
10506058,1
10507054,1
10507056,1
10508054,1
10508056,1
10509058,1
10509060,20
10510054,5
10510056,1
10510058,1
10511052,41
10511054,35
10511056,35
10511058,17
10511060,19
10512052,44
10512054,40
10512056,26
10512058,16
10512060,15
10513052,4
10513054,6
10513056,8
10513058,7
10513060,6
10539052,79
10539054,88
10539056,90
10539058,61
10539060,39
10540052,70
10540054,90
10540056,89
10540058,60
10540060,38
10567052,40
10567054,39
10567056,30
10567058,15
10567060,19
10568052,70
10568056,1
10568058,5
10569054,1
10569058,1
10584052,88
10584054,78
10584056,89
10584058,41
10584060,7
10589052,14
10589054,2
10589056,1
10589058,2
10589060,2
10590052,28
10590054,28
10590056,22
10590058,15
10590060,13
10601054,1
10601058,1
10627054,1
10637052,57
10637054,57
10637056,55
10637058,27
10637060,30
10653052,60
10653054,57
10653056,56
10653058,29
10653060,35
10654052,60
10654054,52
10654056,5
10654058,30
10654060,13
10660052,72
10660054,76
10660056,79
10660058,44
10660060,42
10669052,15
10669054,24
10669056,20
10669058,15
10669060,8
10670052,10
10670054,9
10670056,9
10670058,7
10670060,2
10671052,10
10671054,21
10671056,19
10671058,13
10671060,7
10672052,19
10672054,19
10672056,19
10672058,12
10672060,7
10676052,12
10676054,11
10676056,14
10677052,5
10677054,12
10677056,13
10678052,9
10678054,11
10678056,9
10678058,6
10678060,3
10680052,11
10680054,10
10680056,9
10680058,6
10680060,3
10697052,10
10697054,9
10697056,15
10697058,7
10697060,2
10900060,40
14410140,1
14410145,1
14580150,3
14580160,5
15522060,1
17700140,12
100069060,1
106020140,11
106020145,11
106020150,12
106020155,11
106020160,10
106030140,3
106030150,7
106030160,4
106040140,11
106040145,11
106040150,12
106040155,12
106040160,12
106050140,12
106050145,16
106050150,12
106050155,12
106050160,11
106060140,10
106060145,12
106060150,12
106070140,10
106070145,8
106070150,4
106070155,11
106070160,12
106080140,12
106080145,12
106080150,11
106080155,12
106080160,11
106120140,12
106120145,9
106120150,12
106120155,12
106120160,11
7001,26
7003,120
7004,100
7006,29
7007,28
7008,128
7009,28
7018,180
7020,22
7021,146
7025,45
7027,353
7028,715
7032,147
7033,77
7036,28
7037,26
7038,78
7039,300
7040,300
7042,28
7044,21
7045,71
7046,75
6.28114E+12,18
6.28114E+12,22
6.28114E+12,22
6.28114E+12,22
6.28114E+12,22
6.28114E+12,8
6.28114E+12,11
6.28114E+12,9
6.28114E+12,20
6.28114E+12,10
6.28114E+12,10
8.68011E+12,100
8.68014E+12,96
8.68015E+12,96
8.68017E+12,96
8.68018E+12,98
8.6802E+12,98
8.85872E+12,11
8.85872E+12,5
8.85872E+12,17
8.85872E+12,17
8600,1447
8700,1606
8800,154
20030F,1
20280XL,1
20460XL,1
20880L,1
20890F,1
20940M,2
20960XXI,1
3010,5411
3011,2092
3012,3509
3013,410
3014,450
3015,2026
3016,1317
3017,750
3018,622
3019,561
3026,50
3027,1505
3028,5861
3029,257
3030,2417
3031,1448
3032,1967
3034,330
3035,100
3036,740
3037,40
4103,1500
4218,300
4221,319
4222,1099
4223,867
4291,41
4292,40
4293,39
4294,89
4295,32
4296,43
4297,40
4298,78
4299,40
4300,40
4301,88
4302,88
4304,61
4306,61
4307,61
4308,57
4309,59
4310,58
4311,40
4312,60
4313,57
4366,2338
4377,120
4384,140
4395,150
4397,17
4399,60
4401,57
4402,57
4404,57
4406,57
4407,57
4409,38
4410,57
4411,77
4412,57
4417,60
10450,140
10478,162
13054,1
mix,1325
